Dato,Terrassebord,Planke,Terrasseskrue,Skrue5x90
2024-01-01,0.0,152.31,0.0,1.0
2024-01-08,1354.24,1752.0600000000002,0.0,53.0
2024-01-15,495.89,459.78,0.0,1.0
2024-01-22,4.2,497.0800000000001,0.0,1.0
2024-01-29,172.0,1026.04,0.0,8.0
2024-02-05,353.85,1570.86,0.0,1.0
2024-02-12,0.0,1239.98,0.0,18.0
2024-02-19,2094.3999999999996,826.4499999999998,0.0,1.0
2024-02-26,401.3,1313.35,0.0,3.0
2024-03-04,40.760000000000005,600.61,0.0,7.0
2024-03-11,53.89,842.6899999999999,3.0,6.0
2024-03-18,0.0,788.08,3.0,15.0
2024-03-25,985.02,72.77,1.0,26.0
2024-04-01,404.38,770.23,2.0,5.0
2024-04-08,192.40000000000003,1844.2199999999998,0.0,6.0
2024-04-15,83.65,876.9699999999999,4.0,16.0
2024-04-22,0.0,629.12,4.0,10.0
2024-04-29,1355.99,1380.0599999999997,8.0,2.0
2024-05-06,734.49,1404.21,7.0,1.0
2024-05-13,1069.54,1126.81,10.0,3.0
2024-05-20,561.54,900.1800000000001,6.0,4.0
2024-05-27,395.67,1667.2300000000002,19.0,15.0
2024-06-03,735.0300000000001,1856.3200000000002,5.0,2.0
2024-06-10,94.3,889.8499999999999,4.0,28.0
2024-06-17,270.59999999999997,545.5899999999999,5.0,4.0
2024-06-24,777.3299999999999,3115.81,5.0,2.0
2024-07-01,283.8,297.24,3.0,1.0
2024-07-08,189.8,713.9200000000001,0.0,3.0
2024-07-15,985.36,848.72,1.0,2.0
2024-07-22,1212.7,313.39,2.0,1.0
2024-07-29,1754.8899999999999,836.7199999999999,0.0,0.0
2024-08-05,2242.38,1173.4799999999998,7.0,12.0
2024-08-12,740.9399999999999,2285.5099999999998,1.0,12.0
2024-08-19,186.49,1002.8399999999999,0.0,1.0
2024-08-26,327.78999999999996,751.3200000000002,4.0,42.0
2024-09-02,1069.35,1708.36,5.0,6.0
2024-09-09,255.5,2397.03,10.0,5.0
2024-09-16,14.61,1815.1599999999996,0.0,10.0
2024-09-23,482.4,60.0,0.0,1.0
2024-09-30,1386.99,1867.9099999999999,9.0,8.0
2024-10-07,1548.26,1384.95,3.0,4.0
2024-10-14,379.66,1004.16,5.0,8.0
2024-10-21,816.9000000000001,1407.79,2.0,5.0
2024-10-28,0.0,1011.81,3.0,4.0
2024-11-04,784.52,1392.3299999999997,5.0,5.0
2024-11-11,1298.6799999999998,2044.02,3.0,6.0
2024-11-18,806.75,2362.77,2.0,6.0
2024-11-25,1328.98,1405.4299999999998,6.0,3.0
2024-12-02,174.02,889.9,1.0,7.0
2024-12-09,568.5699999999999,1653.0,1.0,6.0
2024-12-16,30.5,1401.3100000000002,2.0,1.0
2025-01-06,592.28,1411.4099999999999,0.0,37.0
2025-01-13,1097.1100000000001,921.0600000000001,1.0,2.0
2025-01-20,45.74,1602.18,5.0,2.0
2025-01-27,466.11999999999995,2437.58,3.0,5.0
2025-02-03,652.26,700.98,7.0,5.0
2025-02-10,136.7,3718.499999999999,8.0,5.0
2025-02-17,439.35999999999996,1753.4699999999998,3.0,5.0
2025-02-24,229.43,716.31,4.0,1.0
2025-03-03,683.9699999999999,2406.3300000000004,5.0,5.0
2025-03-10,985.38,2929.43,4.0,3.0
2025-03-17,970.8000000000001,1521.88,4.0,5.0
2025-03-24,134.1,62.6,4.0,0.0
2025-03-31,3140.06,4914.530000000001,17.0,13.0
2025-04-07,307.4,1137.8499999999997,2.0,2.0
2025-04-14,21.0,49.05,0.0,0.0
2025-04-21,1113.2799999999997,1222.49,16.0,3.0
2025-04-28,290.03000000000003,851.0900000000001,10.0,6.0
2025-05-05,394.60999999999996,1753.4099999999999,9.0,14.0
2025-05-12,1393.04,2340.6099999999997,23.0,3.0
2025-05-19,202.38,320.34999999999997,10.0,3.0
2025-05-26,1816.6000000000001,1607.1000000000001,3.0,5.0
2025-06-02,324.73,2649.2000000000003,11.0,6.0
2025-06-09,631.7599999999999,1489.17,11.0,7.0
2025-06-16,1497.3599999999997,1702.0200000000002,18.0,8.0
2025-06-23,9.67,0.0,3.0,0.0
2025-06-30,1283.0,4020.59,14.0,11.0
2025-07-07,162.24,498.55999999999995,1.0,2.0
2025-07-14,805.9,601.33,16.0,10.0
2025-07-21,12.4,352.91999999999996,6.0,4.0
2025-07-28,139.75,765.62,3.0,2.0
2025-08-04,1339.8000000000002,690.41,2.0,3.0
2025-08-11,129.28,1292.1499999999999,3.0,5.0
2025-08-18,200.09999999999997,163.11999999999998,3.0,4.0
2025-08-25,723.87,1424.8600000000001,14.0,19.0
2025-09-01,231.47,566.53,6.0,3.0
2025-09-08,1056.34,803.7800000000001,0.0,10.0
2025-09-15,565.67,1273.9099999999999,7.0,5.0
2025-09-22,84.6,139.67999999999998,3.0,2.0
2025-09-29,929.74,948.4399999999999,7.0,9.0
2025-10-06,432.8,974.1999999999999,6.0,3.0
2025-10-13,1135.8999999999999,863.5,7.0,1.0
2025-10-20,565.22,478.7199999999999,7.0,5.0
2025-10-27,511.78,1027.32,6.0,3.0
2025-11-03,65.3,1643.05,3.0,2.0
2025-11-10,95.69,863.2700000000001,1.0,4.0
2025-11-17,611.566,1084.99,3.0,4.0
2025-11-24,34.9,1153.2400000000002,5.0,2.0
2025-12-01,506.9,884.3199999999999,0.0,0.0
2025-12-08,85.03,259.34000000000003,6.0,3.0
2025-12-15,126.97,829.5600000000001,0.0,1.0
2026-01-05,128.48000000000002,319.64,1.0,3.0
2026-01-12,118.8,379.24,2.0,2.0
2026-01-19,98.0,702.3699999999999,2.0,5.0
2026-01-26,268.12,1473.05,1.0,2.0
2026-02-02,555.09,517.33,9.0,5.0
2026-02-09,217.95,1407.2800000000002,8.0,2.0
2026-02-16,244.59,708.02,6.0,2.0
2026-02-23,616.43,1001.5300000000001,1.0,0.0
2026-03-02,461.79,225.14,5.0,1.0
2026-03-09,1395.8400000000001,1223.18,5.0,18.0
2026-03-16,1002.8,1197.43,4.0,4.0
2026-03-30,566.3,1541.5020000000002,1.0,3.0
2026-04-06,303.1,530.68,5.0,2.0
2026-04-13,310.31,865.18,5.0,3.0
2026-04-20,245.07,455.3,5.0,9.0
